sample_id,sample_type,step0_raw,step1_filtered,step1_pct,step2_trimmed,step2_pct,step5_otu97,step5_pct,silva_filtered,silva_pct,gg2_filtered,gg2_pct,emu_classified,emu_classified_pct,emu_unclassified,emu_total_mapped_pct
Run06_fecal_barcode23,Fecal,19589,17389,88.8,17389,100.0,17389,100.0,8545,49.1,13329,76.7,13667,69.8,3722,88.8
Run06_fecal_barcode24,Fecal,28412,26864,94.6,26864,100.0,26864,100.0,13082,48.7,21863,81.4,24616,86.6,2248,94.6
Run07_fecal_barcode09,Fecal,72855,67226,92.3,67225,100.0,67225,100.0,33261,49.5,56070,83.4,64795,88.9,2429,92.3
Run07_fecal_barcode10,Fecal,60390,54130,89.6,54127,100.0,54127,100.0,27860,51.5,37611,69.5,49859,82.6,4268,89.6
Run07_fecal_barcode11,Fecal,61408,54915,89.4,54915,100.0,54915,100.0,28144,51.3,36678,66.8,50097,81.6,4818,89.4
Run07_fecal_barcode12,Fecal,65947,58934,89.4,58933,100.0,58933,100.0,30875,52.4,43756,74.2,53552,81.2,5381,89.4
Run07_fecal_barcode13,Fecal,68921,62204,90.3,62204,100.0,62204,100.0,30585,49.2,41867,67.3,58239,84.5,3965,90.3
Run07_fecal_barcode14,Fecal,62941,54771,87.0,54770,100.0,54770,100.0,26935,49.2,40053,73.1,50542,80.3,4228,87.0
Run07_fecal_barcode15,Fecal,69993,60362,86.2,60361,100.0,60361,100.0,29586,49.0,42946,71.1,52718,75.3,7642,86.2
Run07_fecal_barcode16,Fecal,76319,67436,88.4,67435,100.0,67435,100.0,33249,49.3,50508,74.9,62816,82.3,4618,88.4
Run07_fecal_barcode17,Fecal,75661,67695,89.5,67693,100.0,67693,100.0,33987,50.2,50377,74.4,61924,81.8,5769,89.5
Run07_fecal_barcode18,Fecal,58331,52014,89.2,52014,100.0,52014,100.0,25884,49.8,41069,79.0,46852,80.3,5162,89.2
Run07_fecal_barcode19,Fecal,70742,63397,89.6,63397,100.0,63397,100.0,30860,48.7,42739,67.4,58355,82.5,5041,89.6
Run07_fecal_barcode20,Fecal,72295,64610,89.4,64609,100.0,64609,100.0,31724,49.1,48600,75.2,58558,81.0,6050,89.4
Run07_fecal_barcode21,Fecal,78941,70018,88.7,70018,100.0,70018,100.0,34948,49.9,47120,67.3,67588,85.6,2430,88.7
Run07_fecal_barcode22,Fecal,92729,82318,88.8,82317,100.0,82317,100.0,39620,48.1,66279,80.5,75347,81.3,6969,88.8
Run07_fecal_barcode23,Fecal,85133,76431,89.8,76431,100.0,76431,100.0,37596,49.2,58579,76.6,72025,84.6,4405,89.8
Run07_fecal_barcode24,Fecal,86590,76829,88.7,76826,100.0,76826,100.0,38457,50.1,60836,79.2,70357,81.3,6469,88.7
